,keyword,score
232,실천,6.2648864e-09
233,영업,6.2620416e-09
234,직원,6.2458216e-09
235,우수,6.2271233e-09
236,해당,6.214832e-09
237,지표,6.2090937e-09
238,여부,6.1004846e-09
239,요구,6.0931558e-09
240,관계,6.0881553e-09
241,발굴,6.064659e-09
242,실적,6.06146e-09
243,사외,6.057932e-09
244,고용,6.036222e-09
245,직접,6.003272e-09
246,근로자,6.0002194e-09
247,윤리,5.991808e-09
248,기존,5.9733227e-09
249,판매,5.895321e-09
250,국제,5.861146e-09
251,절차,5.830857e-09
252,선임,5.804834e-09
253,비즈니스,5.804592e-09
254,추가,5.7975553e-09
255,기회,5.7900986e-09
256,주주,5.7707896e-09
257,자산,5.7565064e-09
258,만족,5.7472964e-09
259,고려,5.743217e-09
260,직무,5.7317266e-09
261,법규,5.7197536e-09
262,패션,5.7028453e-09
263,달성,5.6911893e-09
264,탄소,5.6883445e-09
265,차별,5.6737486e-09
266,비용,5.669631e-09
267,원칙,5.6643517e-09
268,물류,5.663153e-09
269,재생,5.65991e-09
270,연계,5.5887974e-09
271,이용,5.564461e-09
272,경영진,5.5610885e-09
273,전기,5.550502e-09
274,자체,5.517219e-09
275,인력,5.5150604e-09
276,조성,5.493992e-09
277,경쟁력,5.4727662e-09
278,배터리,5.4584732e-09
279,화장품,5.4437956e-09
280,파악,5.4086193e-09
281,시행,5.4058678e-09
282,자본,5.394146e-09
283,작업,5.387664e-09
284,협의회,5.3547318e-09
285,상담,5.3507927e-09
286,미국,5.331949e-09
287,상황,5.3149742e-09
288,설계,5.270119e-09
289,육성,5.2540865e-09
290,측정,5.247927e-09
291,위반,5.2354387e-09
292,프로젝트,5.211302e-09
293,매출,5.204926e-09
294,방향,5.196557e-09
295,근무,5.190848e-09
296,사용량,5.178946e-09
297,접근,5.1423914e-09
298,방안,5.1391735e-09
299,공사,5.118196e-09
300,변경,5.1174975e-09
301,당사,5.0861964e-09
302,이사회,5.083329e-09
303,소재,5.0623554e-09
304,근로,5.0273607e-09
305,행동,5.027185e-09
306,자율,4.972285e-09
307,결정,4.9714632e-09
308,임원,4.9353996e-09
309,인재,4.918983e-09
310,기부,4.90236e-09
311,솔루션,4.840424e-09
312,전환,4.8282347e-09
313,기간,4.8280993e-09
314,범위,4.826811e-09
315,투명,4.812409e-09
316,지배,4.804572e-09
317,중국,4.793126e-09
318,규모,4.784594e-09
319,최소,4.7772635e-09
320,학교,4.7744346e-09
321,아동,4.7719464e-09
322,확산,4.769831e-09
323,채용,4.761796e-09
324,컨설팅,4.7133426e-09
325,유지,4.7005426e-09
326,담당,4.6987814e-09
327,포장,4.6674966e-09
328,오염,4.6613557e-09
329,영역,4.659353e-09
330,인원,4.6542596e-09
331,협업,4.638715e-09
332,리조트,4.6299924e-09
333,심사,4.5984225e-09
334,회의,4.547705e-09
335,자료,4.509411e-09
336,문제,4.4986805e-09
337,안정,4.4977417e-09
338,부패,4.488105e-09
339,분쟁광물,4.4420356e-09
340,디지털,4.4088306e-09
341,기획,4.3850106e-09
342,현지,4.3592467e-09
343,향후,4.354146e-09
344,보유,4.353654e-09
345,포장재,4.3404125e-09
346,기본,4.3297343e-09
347,커뮤니케이션,4.3280814e-09
348,의견,4.3277644e-09
349,용수,4.3088253e-09
350,지급,4.2815897e-09
351,상품,4.281132e-09
352,본사,4.2809076e-09
353,제작,4.279643e-09
354,학습,4.2758574e-09
355,해결,4.2755524e-09
356,매장,4.254702e-09
357,이후,4.2534967e-09
358,특성,4.2411283e-09
359,뷰티,4.24086e-09
360,음료,4.2402637e-09
361,신뢰,4.229364e-09
362,예정,4.226527e-09
363,공시,4.221038e-09
364,피부,4.2002553e-09
365,마련,4.1926302e-09
366,경험,4.191143e-09
367,안심,4.183792e-09
368,유형,4.1712265e-09
369,건수,4.16401e-09
370,금융,4.1598485e-09
371,종합,4.152744e-09
372,요소,4.1273474e-09
373,취득,4.116919e-09
374,하도급,4.1116617e-09
375,주제,4.0724544e-09
376,최근,4.068333e-09
377,지침,4.0663024e-09
378,조달,4.065189e-09
379,동반성,4.059071e-09
380,용기,4.0562265e-09
381,수상,4.047396e-09
382,등급,4.0341503e-09
383,인프라,4.027944e-09
384,방문,4.0259267e-09
385,활성,4.0244843e-09
386,발간,4.0165506e-09
387,부정,4.010655e-09
388,역할,4.009141e-09
389,보상,4.0088493e-09
390,의사,4.008329e-09
391,집중,3.972652e-09
392,거버넌스,3.963306e-09
393,절감,3.9207855e-09
394,디자인,3.894654e-09
395,회수,3.8867234e-09
396,캠페인,3.8703774e-09
397,단체,3.8671644e-09
398,순환,3.8655688e-09
399,마케팅,3.8587165e-09
400,보장,3.8526142e-09
401,트렌드,3.8149355e-09
402,자금,3.803686e-09
403,합계,3.76778e-09
404,안전성,3.757824e-09
405,보수,3.747449e-09
406,검사,3.7456274e-09
407,개최,3.7451104e-09
408,부품,3.741851e-09
409,행위,3.736056e-09
410,최초,3.7205812e-09
411,위치,3.70777e-09
412,세대,3.7028252e-09
413,연결,3.6939534e-09
414,담당자,3.6907744e-09
415,신고,3.680006e-09
416,현재,3.6550185e-09
417,회계,3.6379695e-09
418,이익,3.6223833e-09
419,재해,3.6059298e-09
420,안내,3.597931e-09
421,실행,3.5939587e-09
