,keyword,score
230,경쟁력,7.1511908e-09
231,노력,7.1240516e-09
232,진단,7.102134e-09
233,전기,7.067852e-09
234,장비,7.0511104e-09
235,최초,7.011118e-09
236,반영,7.0022685e-09
237,연계,6.985497e-09
238,확산,6.9769452e-09
239,종합,6.9702075e-09
240,선정,6.9660264e-09
241,적극,6.9599033e-09
242,계약,6.959158e-09
243,기존,6.9471193e-09
244,폐기물,6.8846147e-09
245,공유,6.87321e-09
246,공개,6.864423e-09
247,사례,6.8468173e-09
248,조성,6.8423134e-09
249,임원,6.818532e-09
250,금융,6.7973e-09
251,기간,6.7971007e-09
252,물질,6.749123e-09
253,유지,6.6955663e-09
254,협업,6.68984e-09
255,안정,6.660726e-09
256,전체,6.6569923e-09
257,채널,6.6512564e-09
258,제고,6.6452874e-09
259,맞춤,6.617003e-09
260,영역,6.5983587e-09
261,기능,6.589308e-09
262,재생,6.52917e-09
263,제조,6.5263692e-09
264,인재,6.5244254e-09
265,방식,6.502611e-09
266,발굴,6.4646075e-09
267,매출,6.463796e-09
268,원료,6.4417884e-09
269,여성,6.433604e-09
270,보유,6.421249e-09
271,정기,6.4181607e-09
272,규정,6.4105175e-09
273,여부,6.375405e-09
274,효과,6.368945e-09
275,작업,6.3543233e-09
276,연간,6.3304952e-09
277,인력,6.300199e-09
278,채용,6.287533e-09
279,문제,6.27668e-09
280,투명,6.2689e-09
281,미디어,6.1997447e-09
282,의사,6.1878187e-09
283,의견,6.1856555e-09
284,실행,6.184945e-09
285,절감,6.116749e-09
286,직무,6.0965824e-09
287,수익,6.0033427e-09
288,사용량,5.9786616e-09
289,실적,5.959343e-09
290,자율,5.959025e-09
291,설치,5.9379173e-09
292,상생,5.9228924e-09
293,표준,5.9160126e-09
294,노동,5.9076943e-09
295,중소기업,5.8791643e-09
296,고용,5.8757323e-09
297,상품,5.842019e-09
298,달성,5.8245653e-09
299,지급,5.7799414e-09
300,중대,5.767548e-09
301,연구,5.7404574e-09
302,위반,5.7254423e-09
303,반도체,5.711528e-09
304,관계,5.684892e-09
305,기본,5.6375646e-09
306,마케팅,5.609906e-09
307,가입자,5.6031983e-09
308,규제,5.5960307e-09
309,측정,5.585599e-09
310,바탕,5.5494676e-09
311,사고,5.507558e-09
312,기기,5.4936917e-09
313,취약,5.471135e-09
314,구현,5.470723e-09
315,자체,5.4694094e-09
316,범위,5.4165077e-09
317,자산,5.4139204e-09
318,경쟁,5.408022e-09
319,근로,5.3639866e-09
320,금지,5.3310054e-09
321,역할,5.319822e-09
322,지침,5.274765e-09
323,삼성,5.26316e-09
324,지표,5.2333693e-09
325,프로젝트,5.2047695e-09
326,육성,5.2005165e-09
327,공헌,5.192768e-09
328,보고,5.176907e-09
329,건수,5.1454165e-09
330,파악,5.144034e-09
331,상시,5.103746e-09
332,업체,5.1025784e-09
333,자료,5.094588e-09
334,커뮤니케이션,5.061361e-09
335,양성,5.0610085e-09
336,선도,5.0582645e-09
337,해결,5.051752e-09
338,이익,5.0395976e-09
339,자동,5.037111e-09
340,차별,5.0130495e-09
341,담당,5.008037e-09
342,사옥,5.002097e-09
343,측면,5.0010125e-09
344,생활,4.987012e-09
345,협회,4.986242e-09
346,컨설팅,4.970893e-09
347,이후,4.967074e-09
348,영업,4.9530144e-09
349,지배,4.950258e-09
350,전자,4.929927e-09
351,계층,4.929084e-09
352,행복,4.9242477e-09
353,국내외,4.919384e-09
354,전반,4.9192757e-09
355,저감,4.8837396e-09
356,해소,4.874421e-09
357,시대,4.8715503e-09
358,방안,4.862675e-09
359,유해,4.83129e-09
360,평균,4.8311986e-09
361,특성,4.831041e-09
362,기획,4.830722e-09
363,추가,4.8298117e-09
364,동반성,4.827005e-09
365,항목,4.824081e-09
366,요소,4.817582e-09
367,화학,4.81647e-09
368,본부,4.7900652e-09
369,생태,4.7897504e-09
370,저탄소,4.78388e-09
371,노사,4.783504e-09
372,파트너,4.779979e-09
373,제철소,4.76499e-09
374,위기,4.734439e-09
375,보상,4.7275672e-09
376,이동,4.7122386e-09
377,대한민국,4.707217e-09
378,일반,4.6964344e-09
379,경험,4.691483e-09
380,최소,4.689776e-09
381,기구,4.6881414e-09
382,과제,4.6847224e-09
383,사업자,4.6608672e-09
384,접근성,4.6538964e-09
385,회의,4.6453077e-09
386,존중,4.6368984e-09
387,행위,4.633996e-09
388,만족,4.6119046e-09
389,유형,4.598222e-09
390,작성,4.5933137e-09
391,행동,4.5900816e-09
392,침해,4.5888737e-09
393,수상,4.5868185e-09
394,보장,4.546724e-09
395,자회사,4.5321973e-09
396,가스,4.5295363e-09
397,현재,4.5181814e-09
398,인식,4.5173687e-09
399,모두,4.512322e-09
400,실시간,4.483468e-09
401,최대,4.472658e-09
